graph_id,node_id,label,train_mask,val_mask,test_mask,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,X,Y,Z
0,0,0,True,False,False,17.2143,16.9668,0.7514,8.0,0.9792,0.5362,5.940485,4.728024,0.0
0,1,5,True,False,False,14.0886,15.0921,0.7773,4.0,0.9824,0.4987,3.14649,7.854472,0.0
0,2,8,True,False,False,14.8205,16.5719,0.6782,10.0,0.9845,0.4878,-1.590818,-4.466176,0.0
0,3,4,True,False,False,12.8135,14.4785,0.7681,4.0,0.9744,0.4928,0.999306,5.295558,0.0
0,4,0,True,False,False,13.5851,14.8535,0.7738,4.0,0.9789,0.4964,-7.228438,-4.503257,0.0
0,5,0,True,False,False,14.7712,15.3989,0.7828,4.0,0.99,0.5022,3.407459,1.483911,0.0
0,6,4,True,False,False,13.2752,14.8024,0.7614,6.0,0.9663,0.4947,-5.051653,-1.902438,0.0
0,7,1,True,False,False,3.5096,7.917,0.7036,6.0,0.9249,0.4717,-4.104779,0.617998,0.0
0,8,0,True,False,False,15.1718,16.1147,0.7342,12.0,0.9888,0.5152,0.895496,-1.503102,0.0
0,9,2,True,False,False,2.8401,6.741,0.7854,4.0,1.0,0.5038,0.346411,2.595189,0.0
0,10,1,True,False,False,3.5155,7.934,0.7018,6.0,0.9965,0.4674,-1.364974,3.869913,0.0
0,11,5,False,True,False,13.1797,14.7683,0.7594,8.0,0.9343,0.5151,-4.14317,-5.901307,0.0
0,12,2,False,True,False,2.5414,6.6047,0.7321,6.0,0.8919,0.528,-2.254983,-0.761663,0.0
0,13,6,False,False,True,10.7691,13.865,0.704,6.0,0.9447,0.4526,-2.341545,1.963969,0.0
0,14,3,False,False,True,11.2438,15.0239,0.626,10.0,0.9338,0.478,8.976564,2.851219,0.0
0,15,3,False,False,True,11.2273,15.0239,0.6251,12.0,0.9355,0.4762,-0.640254,-8.596402,0.0
1,0,5,True,False,False,18.4134,17.4238,0.7622,6.0,0.9554,0.4944,7.418466,-1.089482,0.0
1,1,3,True,False,False,3.509,7.8738,0.7113,5.0,0.8577,0.4743,-1.1813,11.524798,0.0
1,2,0,True,False,False,13.552,16.0375,0.6621,14.0,0.9106,0.5236,0.859994,8.923974,0.0
1,3,2,True,False,False,14.7835,20.3505,0.4486,12.0,0.9878,0.3644,7.218034,2.262404,0.0
1,4,0,True,False,False,18.3975,17.1671,0.7845,4.0,0.9911,0.5078,9.145627,6.91396,0.0
1,5,4,True,False,False,8.7084,12.5717,0.6924,10.0,0.9922,0.4796,-1.051854,6.9611,0.0
1,6,6,True,False,False,1.9436,5.64,0.7678,6.0,0.9579,0.4998,-1.799928,-1.958885,0.0
1,7,5,True,False,False,19.4558,18.559,0.7098,17.0,0.9277,0.5161,-1.241891,-9.017074,0.0
