graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,1,0,0,True,False,False
0,0,1,0,True,False,False
0,0,14,0,True,False,False
0,14,0,0,True,False,False
0,0,5,0,True,False,False
0,5,0,0,True,False,False
0,4,11,0,True,False,False
0,11,4,0,True,False,False
0,2,11,0,True,False,False
0,11,2,0,True,False,False
0,11,15,0,True,False,False
0,15,11,0,True,False,False
0,8,12,0,True,False,False
0,12,8,0,True,False,False
0,7,12,0,True,False,False
0,12,7,0,True,False,False
0,6,12,0,True,False,False
0,12,6,0,True,False,False
0,12,13,0,True,False,False
0,13,12,0,True,False,False
0,9,13,0,True,False,False
0,13,9,0,True,False,False
0,10,13,0,True,False,False
0,13,10,0,True,False,False
0,8,13,0,True,False,False
0,13,8,0,True,False,False
0,7,13,0,True,False,False
0,13,7,0,True,False,False
0,4,6,0,True,False,False
0,6,4,0,True,False,False
0,2,6,0,True,False,False
0,6,2,0,True,False,False
0,3,9,0,True,False,False
0,9,3,0,True,False,False
0,1,3,0,False,True,False
0,3,1,0,False,True,False
0,3,5,0,False,True,False
0,5,3,0,False,True,False
0,5,9,0,False,False,True
0,9,5,0,False,False,True
0,2,8,0,False,False,True
0,8,2,0,False,False,True
0,10,9,0,False,False,True
0,9,10,0,False,False,True
1,41,18,0,True,False,False
1,18,41,0,True,False,False
1,16,11,0,True,False,False
1,11,16,0,True,False,False
1,11,38,0,True,False,False
1,38,11,0,True,False,False
1,26,33,0,True,False,False
1,33,26,0,True,False,False
1,26,29,0,True,False,False
1,29,26,0,True,False,False
1,26,8,0,True,False,False
1,8,26,0,True,False,False
1,40,24,0,True,False,False
1,24,40,0,True,False,False
1,7,40,0,True,False,False
1,40,7,0,True,False,False
1,21,19,0,True,False,False
1,19,21,0,True,False,False
1,19,33,0,True,False,False
1,33,19,0,True,False,False
1,8,33,0,True,False,False
1,33,8,0,True,False,False
1,21,37,0,True,False,False
1,37,21,0,True,False,False
1,21,33,0,True,False,False
1,33,21,0,True,False,False
1,33,24,0,True,False,False
1,24,33,0,True,False,False
1,7,33,0,True,False,False
1,33,7,0,True,False,False
1,12,31,0,True,False,False
1,31,12,0,True,False,False
1,31,14,0,True,False,False
1,14,31,0,True,False,False
1,29,7,0,True,False,False
1,7,29,0,True,False,False
1,21,16,0,True,False,False
1,16,21,0,True,False,False
1,16,17,0,True,False,False
1,17,16,0,True,False,False
1,21,17,0,True,False,False
1,17,21,0,True,False,False
1,21,24,0,True,False,False
1,24,21,0,True,False,False
1,12,14,0,True,False,False
1,14,12,0,True,False,False
1,3,13,0,True,False,False
1,13,3,0,True,False,False
1,13,24,0,True,False,False
1,24,13,0,True,False,False
1,0,13,0,True,False,False
1,13,0,0,True,False,False
1,30,10,0,True,False,False
1,10,30,0,True,False,False
1,27,10,0,True,False,False
1,10,27,0,True,False,False
1,32,9,0,True,False,False
1,9,32,0,True,False,False
1,32,3,0,True,False,False
1,3,32,0,True,False,False
1,0,32,0,True,False,False
1,32,0,0,True,False,False
1,5,15,0,True,False,False
1,15,5,0,True,False,False
1,2,5,0,True,False,False
1,5,2,0,True,False,False
1,1,20,0,True,False,False
1,20,1,0,True,False,False
1,28,34,0,True,False,False
1,34,28,0,True,False,False
1,28,14,0,True,False,False
1,14,28,0,True,False,False
1,2,34,0,True,False,False
1,34,2,0,True,False,False
1,2,14,0,True,False,False
1,14,2,0,True,False,False
1,0,3,0,True,False,False
1,3,0,0,True,False,False
1,4,9,0,True,False,False
1,9,4,0,True,False,False
1,4,3,0,False,True,False
1,3,4,0,False,True,False
1,4,14,0,False,True,False
1,14,4,0,False,True,False
1,10,24,0,False,True,False
1,24,10,0,False,True,False
1,35,10,0,False,True,False
1,10,35,0,False,True,False
1,10,23,0,False,True,False
1,23,10,0,False,True,False
1,15,10,0,False,False,True
1,10,15,0,False,False,True
1,14,3,0,False,False,True
1,3,14,0,False,False,True
1,14,24,0,False,False,True
1,24,14,0,False,False,True
1,38,15,0,False,False,True
