graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,28,5,0,True,False,False
0,5,28,0,True,False,False
0,25,28,0,True,False,False
0,28,25,0,True,False,False
0,36,10,0,True,False,False
0,10,36,0,True,False,False
0,10,43,0,True,False,False
0,43,10,0,True,False,False
0,5,43,0,True,False,False
0,43,5,0,True,False,False
0,43,22,0,True,False,False
0,22,43,0,True,False,False
0,43,4,0,True,False,False
0,4,43,0,True,False,False
0,43,30,0,True,False,False
0,30,43,0,True,False,False
0,36,7,0,True,False,False
0,7,36,0,True,False,False
0,7,26,0,True,False,False
0,26,7,0,True,False,False
0,7,34,0,True,False,False
0,34,7,0,True,False,False
0,7,13,0,True,False,False
0,13,7,0,True,False,False
0,5,22,0,True,False,False
0,22,5,0,True,False,False
0,3,22,0,True,False,False
0,22,3,0,True,False,False
0,22,4,0,True,False,False
0,4,22,0,True,False,False
0,30,22,0,True,False,False
0,22,30,0,True,False,False
0,13,22,0,True,False,False
0,22,13,0,True,False,False
0,22,21,0,True,False,False
0,21,22,0,True,False,False
0,22,37,0,True,False,False
0,37,22,0,True,False,False
0,22,41,0,True,False,False
0,41,22,0,True,False,False
0,22,24,0,True,False,False
0,24,22,0,True,False,False
0,2,22,0,True,False,False
0,22,2,0,True,False,False
0,22,23,0,True,False,False
0,23,22,0,True,False,False
0,15,2,0,True,False,False
0,2,15,0,True,False,False
0,5,37,0,True,False,False
0,37,5,0,True,False,False
0,37,4,0,True,False,False
0,4,37,0,True,False,False
0,37,21,0,True,False,False
0,21,37,0,True,False,False
0,4,41,0,True,False,False
0,41,4,0,True,False,False
0,26,31,0,True,False,False
0,31,26,0,True,False,False
0,26,33,0,True,False,False
0,33,26,0,True,False,False
0,26,0,0,True,False,False
0,0,26,0,True,False,False
0,26,12,0,True,False,False
0,12,26,0,True,False,False
0,5,3,0,True,False,False
0,3,5,0,True,False,False
0,6,3,0,True,False,False
0,3,6,0,True,False,False
0,3,21,0,True,False,False
0,21,3,0,True,False,False
0,30,41,0,True,False,False
0,41,30,0,True,False,False
0,13,41,0,True,False,False
0,41,13,0,True,False,False
0,13,24,0,True,False,False
0,24,13,0,True,False,False
0,23,24,0,True,False,False
0,24,23,0,True,False,False
0,31,16,0,True,False,False
0,16,31,0,True,False,False
0,16,14,0,True,False,False
0,14,16,0,True,False,False
0,0,16,0,True,False,False
0,16,0,0,True,False,False
0,8,38,0,True,False,False
0,38,8,0,True,False,False
0,8,40,0,True,False,False
0,40,8,0,True,False,False
0,13,8,0,True,False,False
0,8,13,0,True,False,False
0,44,8,0,True,False,False
0,8,44,0,True,False,False
0,25,36,0,True,False,False
0,36,25,0,True,False,False
0,25,29,0,True,False,False
0,29,25,0,True,False,False
0,17,33,0,True,False,False
0,33,17,0,True,False,False
0,13,35,0,True,False,False
0,35,13,0,True,False,False
0,13,17,0,True,False,False
0,17,13,0,True,False,False
0,34,13,0,True,False,False
0,13,34,0,True,False,False
0,13,30,0,True,False,False
0,30,13,0,True,False,False
0,13,40,0,True,False,False
0,40,13,0,True,False,False
0,13,44,0,True,False,False
0,44,13,0,True,False,False
0,13,23,0,True,False,False
0,23,13,0,True,False,False
0,17,32,0,True,False,False
0,32,17,0,True,False,False
0,17,35,0,True,False,False
0,35,17,0,True,False,False
0,17,44,0,True,False,False
0,44,17,0,True,False,False
0,29,6,0,True,False,False
0,6,29,0,True,False,False
0,35,11,0,True,False,False
0,11,35,0,True,False,False
0,35,44,0,True,False,False
0,44,35,0,True,False,False
0,19,23,0,True,False,False
0,23,19,0,True,False,False
0,44,40,0,True,False,False
0,40,44,0,True,False,False
0,31,20,0,True,False,False
0,20,31,0,True,False,False
0,39,30,0,True,False,False
0,30,39,0,True,False,False
0,0,1,0,True,False,False
0,1,0,0,True,False,False
0,44,1,0,True,False,False
0,1,44,0,True,False,False
0,44,32,0,True,False,False
0,32,44,0,True,False,False
0,44,42,0,True,False,False
0,42,44,0,True,False,False
0,44,27,0,True,False,False
0,27,44,0,True,False,False
0,44,18,0,True,False,False
0,18,44,0,True,False,False
0,44,9,0,False,True,False
0,9,44,0,False,True,False
0,44,11,0,False,True,False
0,11,44,0,False,True,False
0,12,32,0,False,True,False
0,32,12,0,False,True,False
0,29,15,0,False,True,False
0,15,29,0,False,True,False
0,34,0,0,False,True,False
0,0,34,0,False,True,False
0,15,34,0,False,True,False
0,34,15,0,False,True,False
0,15,19,0,False,True,False
0,19,15,0,False,True,False
0,36,15,0,False,True,False
0,15,36,0,False,True,False
0,36,39,0,False,True,False
0,39,36,0,False,True,False
0,0,38,0,False,False,True
0,38,0,0,False,False,True
0,27,20,0,False,False,True
0,20,27,0,False,False,True
0,42,18,0,False,False,True
0,18,42,0,False,False,True
0,27,18,0,False,False,True
0,18,27,0,False,False,True
0,11,18,0,False,False,True
0,18,11,0,False,False,True
0,9,14,0,False,False,True
0,14,9,0,False,False,True
0,32,11,0,False,False,True
0,11,32,0,False,False,True
0,9,42,0,False,False,True
0,42,9,0,False,False,True
0,27,9,0,False,False,True
0,9,27,0,False,False,True
0,32,27,0,False,False,True
0,27,32,0,False,False,True
